stock_symbol,stock_name
086027,榮運永豐08購01  
1560,中砂            
05640P,台灣50凱基07售06
081148,萬海凱基09購03  
082348,鴻海富邦09購02  
080412,上緯控元大07購03
083029,滬深2X中信09購01
085787,台光電元大09購01
086491,A50正2元富09購02
088324,裕隆元大09購01  
087804,台積電兆豐0A購06
082076,聯發科元大07購15
078694,華新科國泰08購02
077131,裕隆凱基05購02  
1616,億泰            
00631L,元大台灣50正2   
081512,台達化富邦09購01
083589,鴻海國票0C購01  
04472P,華通元富07售03  
082372,祥碩群益08購03  
081473,燁輝康和07購01  
3041,揚智            
077065,祥碩統一09購01  
06045P,晶技元大07售05  
085987,華邦電元大08購06
080872,中鴻兆豐07購02  
088257,中石化國泰0B購01
081286,玉晶光統一09購03
085359,京鼎永豐08購01  
085222,台表科國泰0A購01
083000,元石油凱基09購02
3021,鴻名            
06111P,聯電群益07售05  
079611,上銀富邦08購01  
089835,台橡元大0B購01  
06204P,廣宇國票09售01  
030620,長榮航元大0A購02
087324,晶豪科永豐09購01
089612,聯詠群益09購07  
073001,泰碩群益07購01  
084022,玉晶光統一08購06
06159P,鴻海國泰09售05  
4989,榮科            
030562,裕民統一0B購02  
081550,榮運永豐07購01  
081625,萬海元大08購02  
05763P,長榮凱基07售05  
2431,聯昌            
072995,泰碩群益07購02  
078925,全新永豐06購01  
075931,FBVIX國票05購01 
082943,鴻海元富07購23  
2841,台開            
06666P,長榮國泰0B售01  
085375,聯詠群益08購02  
2537,聯上發          
087419,晶豪科統一0C購01
05374P,臺股指凱基06售22
077805,佳世達元富09購03
084360,全漢元大07購01  
5521,工信            
075619,奇力新富邦07購01
030090,春源永豐0A購01  
084770,鴻海凱基09購08  
030520,惠特群益0B購01  
06801P,群創元大0A售08  
089720,台聚永豐09購02  
077091,華新科富邦07購02
077347,健鼎群益05購01  
079332,力成群益07購01  
089803,亞聚群益09購01  
084393,聯電元富07購16  
1201,味全            
06034P,聯電元富07售14  
06365P,廣宇凱基08售02  
079190,上銀兆豐07購02  
082996,臺股指元大08購09
078732,聯電元富06購09  
3028,增你強          
084756,瑞祺元大08購01  
077369,聯發科元大05購16
080150,友訊凱基06購01  
3607,谷崧            
088380,臺股指國票0A購10
084533,上銀統一08購06  
6573,虹揚-KY         
05716P,長榮群益08售05  
085788,南亞科元大0A購01
086712,聯發科元大0B購01
081904,台達電凱基08購02
1210,大成            
030540,盟立凱基0B購01  
030178,台玻兆豐0B購01  
083731,SGBR2X國票08購02
085513,FBVIX國泰0A購01 
081689,裕民群益07購01  
1533,車王電          
05846P,聯發科中信07售05
04320P,奇鋐元富0A售01  
083753,鴻海國泰0B購04  
074087,玉晶光國泰06購01
074646,奇力新國票06購01
075098,元石油國票05購01
078508,華邦電群益08購01
06689P,聯電凱基0A售06  
083215,聯詠統一09購02  
06815P,友達兆豐0B售03  
082460,偉詮電元大07購01
089090,凌陽統一0B購01  
05427P,國巨凱基06售08  
05485P,榮成元富06售02  
03902P,玉晶光國泰05售01
030591,臺指反元大11購03
087444,台聚群益09購01  
087820,力鵬凱基09購01  
073302,大立光兆豐05購01
079979,喬山統一08購01  
083041,和碩中信0A購01  
083455,國巨麥證09購01  
081146,萬海凱基07購05  
05426P,聯發科中信09售01
081546,益航永豐07購01  
030507,台玻群益0B購01  
087746,台聚國票0A購02  
086709,微星元大09購02  
084764,上銀日盛08購01  
081226,長榮統一09購05  
080970,上銀元大07購03  
089889,東鋼統一0C購02  
080067,上銀元大08購02  
078306,玉晶光兆豐07購01
085709,晶技富邦0A購01  
088567,偉詮電凱基09購01
030386,直得元大0A購01  
06471P,台灣50台新09售02
085154,上銀凱基08購02  
083507,鴻海元大07購22  
088463,鴻海元富09購07  
1714,和桐            
04474P,智易元富08售04  
03492B,臺股指凱基07熊32
2915,潤泰全          
3532,台勝科          
05734P,大立光凱基08售03
086096,技嘉永豐08購02  
087070,大成鋼統一0B購01
088815,萬海元大11購02  
089770,東鋼凱基0B購03  
078986,台光電麥證06購01
087888,晶豪科元大0B購01
085574,微星兆豐08購01  
078491,友達國票08購04  
076215,台光電富邦06購01
080634,勝一元大09購01  
081809,上銀凱基09購01  
076759,SP黃豆元大08購01
089121,友達富邦0B購02  
080104,華夏群益07購01  
05710P,萬海元大07售03  
071857,帆宣元富07購01  
083104,國泰金元大07購01
084168,凱美凱基07購01  
05929P,台灣50元大07售23
06340P,聯發科國泰0A售04
087632,鴻海凱基09購11  
078464,聯電統一08購02  
079465,彩晶元富07購02  
079362,彩晶凱基07購03  
06557P,臺股指群益09售09
082345,華邦電國泰09購01
4942,嘉彰            
06444P,群創元大09售07  
030940,智易群益0B購01  
086037,創意永豐08購04  
081822,華邦電凱基07購05
085147,台積電永豐09購01
085176,友達統一0A購03  
077024,日電貿凱基05購01
080215,台聚元大08購02  
083554,臺股指元大07購20
084615,台灣50凱基09購03
030249,榮運永豐0A購01  
085749,全漢永豐08購02  
079660,上銀元大08購01  
085923,華新科兆豐08購01
06220P,台積電元大08售16
085905,全新富邦0A購01  
081018,華邦電統一09購02
077213,聯成凱基05購02  
082265,聯成元大07購02  
030103,台航永豐0A購01  
2348,海悅            
